typesId,pokemonId,typeName,slot,createdAt,updatedAt
67,45,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
68,46,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
69,46,grass,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
70,47,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
71,47,grass,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
72,48,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
73,48,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
74,49,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
75,49,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
76,50,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
77,51,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
78,52,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
79,53,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
80,54,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
81,55,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
82,56,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
83,57,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
84,58,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
85,59,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
86,60,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
87,61,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
88,62,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
89,62,fighting,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
90,63,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
91,64,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
92,65,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
93,66,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
94,67,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
95,68,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
96,69,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
97,69,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
98,70,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
99,70,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
100,71,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
101,71,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
102,72,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
103,72,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
104,73,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
105,73,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
106,74,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
107,74,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
108,75,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
109,75,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
110,76,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
111,76,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
112,77,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
113,78,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
114,79,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
115,79,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
116,80,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
117,80,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
118,81,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
119,81,steel,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
120,82,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
121,82,steel,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
122,83,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
123,83,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
124,84,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
125,84,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
126,85,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
127,85,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
128,86,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
129,87,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
130,87,ice,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
131,88,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
132,89,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
133,90,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
134,91,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
135,91,ice,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
136,92,ghost,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
137,92,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
138,93,ghost,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
139,93,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
140,94,ghost,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
141,94,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
142,95,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
143,95,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
144,96,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
145,97,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
146,98,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
147,99,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
148,100,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
149,101,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
150,102,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
151,102,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
152,103,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
153,103,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
154,104,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
155,105,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
156,106,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
157,107,fighting,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
158,108,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
159,109,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
160,110,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
161,111,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
162,111,rock,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
163,112,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
164,112,rock,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
165,113,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
166,114,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
167,115,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
168,116,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
169,117,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
170,118,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
171,119,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
172,120,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
173,121,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
174,121,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
175,122,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
176,122,fairy,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
177,123,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
178,123,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
179,124,ice,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
180,124,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
181,125,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
182,126,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
183,127,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
184,128,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
185,129,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
186,130,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
187,130,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
188,131,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
189,131,ice,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
190,132,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
191,133,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
192,134,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
193,135,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
194,136,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
195,137,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
196,138,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
197,138,water,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
198,139,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
199,139,water,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
200,140,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
201,140,water,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
202,141,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
203,141,water,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
204,142,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
205,142,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
206,143,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
207,144,ice,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
208,144,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
209,145,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
210,145,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
211,146,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
212,146,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
213,147,dragon,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
214,148,dragon,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
215,149,dragon,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
216,149,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
217,150,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
218,151,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
219,152,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
220,153,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
221,154,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
222,155,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
223,156,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
224,157,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
225,158,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
226,159,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
227,160,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
228,161,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
229,162,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
230,163,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
231,163,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
232,164,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
233,164,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
234,165,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
235,165,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
236,166,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
237,166,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
238,167,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
239,167,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
240,168,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
241,168,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
242,169,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
243,169,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
244,170,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
245,170,electric,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
246,171,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
247,171,electric,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
248,172,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
249,173,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
250,174,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
251,174,fairy,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
252,175,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
253,176,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
254,176,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
255,177,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
256,177,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
257,178,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
258,178,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
259,179,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
260,180,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
261,181,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
262,182,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
263,183,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
264,183,fairy,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
265,184,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
266,184,fairy,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
267,185,rock,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
268,186,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
269,187,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
270,187,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
271,188,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
272,188,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
273,189,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
274,189,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
275,190,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
276,191,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
277,192,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
278,193,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
279,193,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
280,194,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
281,194,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
282,195,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
283,195,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
284,196,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
285,197,dark,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
286,198,dark,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
287,198,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
288,199,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
289,199,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
290,200,ghost,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
291,201,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
292,202,psychic,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
293,203,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
294,203,psychic,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
295,204,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
296,205,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
297,205,steel,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
298,206,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
299,207,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
300,207,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
301,208,steel,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
302,208,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
303,209,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
304,210,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
305,211,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
306,211,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
307,212,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
308,212,steel,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
309,213,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
310,213,rock,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
311,214,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
312,214,fighting,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
313,215,dark,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
314,215,ice,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
315,216,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
316,217,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
317,218,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
318,219,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
319,219,rock,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
320,220,ice,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
321,220,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
322,221,ice,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
323,221,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
324,222,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
