statsId,pokemonId,statName,baseStat,effort,createdAt,updatedAt
47,8,special-defense,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
48,8,speed,58,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
49,9,hp,79,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
50,9,attack,83,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
51,9,defense,100,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
52,9,special-attack,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
53,9,special-defense,105,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
54,9,speed,78,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
55,10,hp,45,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
56,10,attack,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
57,10,defense,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
58,10,special-attack,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
59,10,special-defense,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
60,10,speed,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
61,11,hp,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
62,11,attack,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
63,11,defense,55,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
64,11,special-attack,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
65,11,special-defense,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
66,11,speed,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
67,12,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
68,12,attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
69,12,defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
70,12,special-attack,90,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
71,12,special-defense,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
72,12,speed,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
73,13,hp,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
74,13,attack,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
75,13,defense,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
76,13,special-attack,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
77,13,special-defense,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
78,13,speed,50,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
79,14,hp,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
80,14,attack,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
81,14,defense,50,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
82,14,special-attack,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
83,14,special-defense,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
84,14,speed,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
85,15,hp,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
86,15,attack,90,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
87,15,defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
88,15,special-attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
89,15,special-defense,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
90,15,speed,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
91,16,hp,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
92,16,attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
93,16,defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
94,16,special-attack,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
95,16,special-defense,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
96,16,speed,56,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
97,17,hp,63,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
98,17,attack,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
99,17,defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
100,17,special-attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
101,17,special-defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
102,17,speed,71,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
103,18,hp,83,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
104,18,attack,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
105,18,defense,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
106,18,special-attack,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
107,18,special-defense,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
108,18,speed,101,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
109,19,hp,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
110,19,attack,56,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
111,19,defense,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
112,19,special-attack,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
113,19,special-defense,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
114,19,speed,72,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
115,20,hp,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
116,20,attack,81,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
117,20,defense,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
118,20,special-attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
119,20,special-defense,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
120,20,speed,97,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
121,21,hp,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
122,21,attack,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
123,21,defense,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
124,21,special-attack,31,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
125,21,special-defense,31,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
126,21,speed,70,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
127,22,hp,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
128,22,attack,90,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
129,22,defense,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
130,22,special-attack,61,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
131,22,special-defense,61,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
132,22,speed,100,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
133,23,hp,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
134,23,attack,60,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
135,23,defense,44,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
136,23,special-attack,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
137,23,special-defense,54,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
138,23,speed,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
139,24,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
140,24,attack,95,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
141,24,defense,69,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
142,24,special-attack,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
143,24,special-defense,79,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
144,24,speed,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
145,25,hp,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
146,25,attack,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
147,25,defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
148,25,special-attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
149,25,special-defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
150,25,speed,90,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
151,26,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
152,26,attack,90,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
153,26,defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
154,26,special-attack,90,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
155,26,special-defense,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
156,26,speed,110,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
157,27,hp,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
158,27,attack,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
159,27,defense,85,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
160,27,special-attack,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
161,27,special-defense,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
162,27,speed,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
163,28,hp,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
164,28,attack,100,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
165,28,defense,110,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
166,28,special-attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
167,28,special-defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
168,28,speed,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
169,29,hp,55,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
170,29,attack,47,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
171,29,defense,52,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
172,29,special-attack,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
173,29,special-defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
174,29,speed,41,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
175,30,hp,70,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
176,30,attack,62,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
177,30,defense,67,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
178,30,special-attack,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
179,30,special-defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
180,30,speed,56,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
181,31,hp,90,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
182,31,attack,92,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
183,31,defense,87,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
184,31,special-attack,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
185,31,special-defense,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
186,31,speed,76,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
187,32,hp,46,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
188,32,attack,57,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
189,32,defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
190,32,special-attack,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
191,32,special-defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
192,32,speed,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
193,33,hp,61,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
194,33,attack,72,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
195,33,defense,57,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
196,33,special-attack,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
197,33,special-defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
198,33,speed,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
199,34,hp,81,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
200,34,attack,102,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
201,34,defense,77,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
202,34,special-attack,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
203,34,special-defense,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
204,34,speed,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
205,35,hp,70,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
206,35,attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
207,35,defense,48,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
208,35,special-attack,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
209,35,special-defense,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
210,35,speed,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
211,36,hp,95,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
212,36,attack,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
213,36,defense,73,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
214,36,special-attack,95,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
215,36,special-defense,90,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
216,36,speed,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
217,37,hp,38,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
218,37,attack,41,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
219,37,defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
220,37,special-attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
221,37,special-defense,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
222,37,speed,65,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
223,38,hp,73,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
224,38,attack,76,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
225,38,defense,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
226,38,special-attack,81,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
227,38,special-defense,100,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
228,38,speed,100,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
229,39,hp,115,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
230,39,attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
231,39,defense,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
232,39,special-attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
233,39,special-defense,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
234,39,speed,20,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
235,40,hp,140,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
236,40,attack,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
237,40,defense,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
238,40,special-attack,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
239,40,special-defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
240,40,speed,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
241,41,hp,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
242,41,attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
243,41,defense,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
244,41,special-attack,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
245,41,special-defense,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
246,41,speed,55,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
247,42,hp,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
248,42,attack,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
249,42,defense,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
250,42,special-attack,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
251,42,special-defense,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
252,42,speed,90,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
253,43,hp,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
254,43,attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
255,43,defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
256,43,special-attack,75,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
257,43,special-defense,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
258,43,speed,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
259,44,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
260,44,attack,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
261,44,defense,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
262,44,special-attack,85,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
263,44,special-defense,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
264,44,speed,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
265,45,hp,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
266,45,attack,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
267,45,defense,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
268,45,special-attack,110,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
269,45,special-defense,90,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
270,45,speed,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
271,46,hp,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
272,46,attack,70,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
273,46,defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
274,46,special-attack,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
275,46,special-defense,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
276,46,speed,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
277,47,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
278,47,attack,95,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
279,47,defense,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
280,47,special-attack,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
281,47,special-defense,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
282,47,speed,30,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
283,48,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
284,48,attack,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
285,48,defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
286,48,special-attack,40,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
287,48,special-defense,55,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
288,48,speed,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
289,49,hp,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
290,49,attack,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
291,49,defense,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
292,49,special-attack,90,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
293,49,special-defense,75,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
294,49,speed,90,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
295,50,hp,10,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
296,50,attack,55,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
297,50,defense,25,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
298,50,special-attack,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
299,50,special-defense,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
300,50,speed,95,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
301,51,hp,35,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
302,51,attack,100,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
303,51,defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
304,51,special-attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
305,51,special-defense,70,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
